Case_ID;Dataset_ID;Strategy;Population_size;Generations_number;Seed;Decoder;Evaluator;Fitness;Alpha;CV_Folds;Best;Worst;Avg;Std;Wall_Time_Avg(s);CPU_Time_Avg(s);NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
1;174;rand/1;50;200;42;sigma;svm;error;0.5;5;94.9;92.3;93.33;1.32;818.112;586.82;10050.0;92.31;9;10.6
1;174;rand/1;50;200;42;sigma;knn;error;0.5;5;92.3;71.8;86.15;6.42;626.239;374.087;10050.0;87.18;12;10.4
2;174;rand/2;50;200;42;sigma;svm;error;0.5;5;94.9;89.7;93.08;1.73;779.085;579.82;10050.0;94.87;10;9.9
2;174;rand/2;50;200;42;sigma;knn;error;0.5;5;87.2;71.8;83.08;4.71;690.498;374.878;10050.0;82.05;6;9.4
3;174;best/1;50;200;42;sigma;svm;error;0.5;5;97.4;92.3;93.33;1.79;796.831;577.789;10050.0;94.87;10;10.5
3;174;best/1;50;200;42;sigma;knn;error;0.5;5;92.3;76.9;83.85;4.2;602.959;369.989;10050.0;84.62;8;9.0
4;174;best/2;50;200;42;sigma;svm;error;0.5;5;94.9;89.7;92.82;1.62;772.803;576.309;10050.0;92.31;5;9.6
4;174;best/2;50;200;42;sigma;knn;error;0.5;5;92.3;71.8;82.05;5.27;488.283;361.953;10050.0;79.49;10;9.3
5;174;best/2;50;200;42;sigma;svm;error;0.5;5;94.9;89.7;92.82;1.62;669.945;580.477;10050.0;92.31;5;9.6
5;174;best/2;50;200;42;sigma;knn;error;0.5;5;92.3;71.8;82.05;5.27;457.1;362.556;10050.0;79.49;10;9.3
6;174;best/2;50;200;42;sigma;svm;error;0.5;5;94.9;89.7;92.82;1.62;658.881;580.138;10050.0;92.31;5;9.6
6;174;best/2;50;200;42;sigma;knn;error;0.5;5;92.3;71.8;82.05;5.27;473.377;361.614;10050.0;79.49;10;9.3
7;174;rand/1;50;200;42;am;svm;error;0.5;5;94.9;92.3;93.85;1.32;1063.62;575.3;10050.0;92.31;3;8.7
8;174;rand/2;50;200;42;am;svm;error;0.5;5;94.9;84.6;91.54;2.97;1120.3;569.972;10050.0;84.62;3;7.3
7;174;rand/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;86.41;2.43;2921.807;361.169;10050.0;87.18;11;10.6
9;174;best/1;50;200;42;am;svm;error;0.5;5;94.9;84.6;92.56;3.07;1067.436;559.206;10050.0;84.62;3;9.7
